,report_year,agency_code,agency_jurisdiction,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
702,1985,OHCLP00,"Cleveland, OH",546126.0,6580.0,131.0,745.0,2205.0,3499.0,12.0,1204.85,23.99,136.42,403.75,640.69
703,1985,OHCOP00,"Columbus, OH",565682.0,4392.0,72.0,406.0,1770.0,2144.0,12.0,776.41,12.73,71.77,312.9,379.01
704,1985,TXDPD00,"Dallas, TX",997467.0,14364.0,301.0,1149.0,6863.0,6051.0,12.0,1440.05,30.18,115.19,688.04,606.64
705,1985,CODPD00,"Denver, CO",513048.0,4252.0,72.0,418.0,1845.0,1917.0,12.0,828.77,14.03,81.47,359.62,373.65
706,1985,MI82349,"Detroit, MI",1090581.0,25904.0,635.0,1575.0,6925.0,16769.0,12.0,2375.25,58.23,144.42,634.98,1537.62
707,1985,TX07102,"El Paso, TX",474870.0,3662.0,22.0,181.0,2466.0,993.0,12.0,771.16,4.63,38.12,519.3,209.11
708,1985,VA02901,"Fairfax County, VA",651037.0,889.0,4.0,57.0,317.0,511.0,12.0,136.55,0.61,8.76,48.69,78.49
709,1985,TX22012,"Fort Worth, TX",424449.0,6352.0,128.0,483.0,3121.0,2620.0,12.0,1496.53,30.16,113.79,735.31,617.27
710,1985,CA01005,"Fresno, CA",275125.0,2311.0,46.0,178.0,854.0,1233.0,12.0,839.98,16.72,64.7,310.4,448.16
711,1985,HI00200,"Honolulu, HI",817083.0,1801.0,36.0,248.0,552.0,965.0,12.0,220.42,4.41,30.35,67.56,118.1
712,1985,TXHPD00,"Houston, TX",1746375.0,16461.0,457.0,1711.0,4704.0,9589.0,12.0,942.58,26.17,97.97,269.36,549.08
713,1985,INIPD00,"Indianapolis, IN",471656.0,4622.0,59.0,346.0,2422.0,1795.0,12.0,979.95,12.51,73.36,513.51,380.57
714,1985,FL01602,"Jacksonville, FL",601007.0,7301.0,90.0,705.0,3813.0,2693.0,12.0,1214.79,14.97,117.3,634.44,448.08
715,1985,MOKPD00,"Kansas City, MO",444942.0,8012.0,91.0,424.0,4851.0,2646.0,12.0,1800.68,20.45,95.29,1090.25,594.68
716,1985,NV00201,"Las Vegas, NV",456749.0,3624.0,57.0,278.0,1534.0,1755.0,12.0,793.43,12.48,60.86,335.85,384.24
717,1985,CA01941,"Long Beach, CA",389728.0,4134.0,63.0,235.0,1431.0,2405.0,12.0,1060.74,16.17,60.3,367.18,617.1
718,1985,CA01900,"Los Angeles County, CA",1074561.0,10624.0,164.0,520.0,6118.0,3822.0,12.0,988.68,15.26,48.39,569.35,355.68
719,1985,CA01942,"Los Angeles, CA",3186459.0,52832.0,777.0,2318.0,21799.0,27938.0,12.0,1658.02,24.38,72.75,684.11,876.77
721,1985,TNMPD00,"Memphis, TN",654626.0,9738.0,122.0,903.0,3697.0,5016.0,12.0,1487.57,18.64,137.94,564.75,766.24
722,1985,AZ00717,"Mesa, AZ",202450.0,1121.0,8.0,70.0,887.0,156.0,12.0,553.72,3.95,34.58,438.13,77.06
723,1985,FL01300,"Miami-Dade County, FL",859660.0,13064.0,177.0,548.0,7735.0,4604.0,12.0,1519.67,20.59,63.75,899.77,535.56
724,1985,FL01306,"Miami, FL",385892.0,11186.0,131.0,284.0,5003.0,5768.0,12.0,2898.74,33.95,73.6,1296.48,1494.72
725,1985,WIMPD00,"Milwaukee, WI",621931.0,4056.0,68.0,390.0,1512.0,2086.0,12.0,652.16,10.93,62.71,243.11,335.41
726,1985,MN02711,"Minneapolis, MN",361021.0,5135.0,29.0,419.0,2361.0,2326.0,12.0,1422.35,8.03,116.06,653.98,644.28
727,1985,MD01604,"Montgomery County, MD",573982.0,1645.0,12.0,114.0,844.0,675.0,12.0,286.59,2.09,19.86,147.04,117.6
728,1985,TN01901,"Nashville, TN",481286.0,3376.0,81.0,348.0,1359.0,1588.0,12.0,701.45,16.83,72.31,282.37,329.95
729,1985,NY02900,"Nassau County, NY",1067327.0,1771.0,18.0,86.0,667.0,1000.0,12.0,165.93,1.69,8.06,62.49,93.69
